Reference, Quantity, Value, Footprint, Datasheet
C11 C81 ,2,"47n","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C151 ,1,"22u","OpenLab_ScopePCB_footprint:C_1206_HandSoldering",""
C153 ,1,"1n","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C154 ,1,"22u","OpenLab_ScopePCB_footprint:C_1210_HandSoldering",""
C182 C195 ,2,"100u","OpenLab_ScopePCB_footprint:c_elec_6.3x5.8",""
C194 ,1,"10u","OpenLab_ScopePCB_footprint:c_elec_5x5.3",""
C21 C22 C26 C91 C92 C96 ,6,"10p","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C23 C93 ,2,"22p","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C112 C122 C24 C44 C54 C94 ,6,"xpF","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C25 C95 ,2,"CTRIM_3pF-10pF","OpenLab_ScopePCB_footprint:TRIM_CO",""
C101 C102 C132 C31 C32 C41 C42 C51 C53 C62 C72 ,11,"100n","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C111 C121 C43 C52 ,4,"4p7","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C131 C152 C171 C172 C173 C181 C191 C192 C193 C61 ,10,"1u","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
C141 C71 ,2,"470n","OpenLab_ScopePCB_footprint:C_0603_HandSoldering",""
D151 ,1,"MBR0520L","OpenLab_ScopePCB_footprint:D_SOD-123",""
D161 ,1,"LED","OpenLab_ScopePCB_footprint:LED-0805",""
D21 D91 ,2,"BAV99","OpenLab_ScopePCB_footprint:SOT-23",""
D131 D132 D61 D62 ,4,"RF01VM2S","OpenLab_ScopePCB_footprint:SOD-323_RF01VM_DIODE",""
FID1 FID2 FID3 ,3,"Fiducial","OpenLab_ScopePCB_footprint:Fiducial_1.5mm_Dia_2.54mm_Outer_CopperTop",""
L151 L152 ,2,"22u","OpenLab_ScopePCB_footprint:Choke_SMD_Bourns_SRN4026",""
P11 P12 ,2,"BNC","OpenLab_ScopePCB_footprint:BNC_Socket_TYCO-AMP",""
P21 ,1,"CONN_02X20","OpenLab_ScopePCB_footprint:Pin_Header_Straight_2x20_Pitch2.54mm_OPENLAB",""
P22 ,1,"CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
P31 ,1,"CONN_01X02","Pin_Headers:Pin_Header_Straight_2x01_Pitch2.54mm",""
P41 ,1,"CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
Q101 Q102 Q31 Q32 ,4,"NJFET_MMBFJ112","OpenLab_ScopePCB_footprint:SOT-23",""
Q111 Q112 Q113 Q114 Q41 Q42 Q43 Q44 ,8,"BC848","OpenLab_ScopePCB_footprint:SOT-23",""
R151 ,1,"29k4","OpenLab_ScopePCB_footprint:R_0603_HandSoldering",""
R1110 R1111 R1112 R1113 R152 R410 R411 R412 R413 ,9,"10k","OpenLab_ScopePCB_footprint:R_0603_HandSoldering",""
