Reference, Value, Footprint, Datasheet
R2,1.5k,Resistors_SMD:R_0805,
R1,180R,Resistors_SMD:R_0805,
R3,13k,Resistors_SMD:R_0805,
U3,MC34063A,SMD_Packages:SOIC-8-N,
U5,MC34063A,SMD_Packages:SOIC-8-N,
RSC2,0,220R,Resistors_SMD:R_0805,
C13,100uF,Capacitors_SMD:c_elec_6.3x7.7,
CO1,100uF,Capacitors_SMD:c_elec_6.3x7.7,
CT1,270pF,Capacitors_SMD:C_0805,
D1,1N5819,Diodes_SMD:SOD-123,
L1,82uH,SMD_inductors:ELLCTP_inductor,
R4,8.2k,Resistors_SMD:R_0805,
R5,953,Resistors_SMD:R_0805,
CO2,100uF,Capacitors_SMD:c_elec_6.3x7.7,
L2,82uH,SMD_inductors:ELLCTP_inductor,
D2,1N5819,Diodes_SMD:SOD-123,
RSC1,0.47R,Resistors_SMD:R_0805,
C8,100uF,Capacitors_SMD:c_elec_6.3x7.7,
R10,30k,Resistors_SMD:R_0805,
R8,1k,Resistors_SMD:R_0805,
RV3,10k,SMD_resistor:trim_bourns_3214w,
C1,10nF,Capacitors_SMD:C_0805,
C3,10nF,Capacitors_SMD:C_0805,
P10,BNC_CH0,Sockets_BNC:BNC_Socket_TYCO-AMP_LargePads,
R9,820R,Resistors_SMD:R_0805,
R6,820R,Resistors_SMD:R_0805,
C7,10nF,Capacitors_SMD:C_0805,
C12,10nF,Capacitors_SMD:C_0805,
P11,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
U2,AD9837,Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm,
C6,10nF,Capacitors_SMD:C_0805,
U1,OSCILLATOR_SMD_16MHz,Eigene_Footprints:Oscillator_7_mal_5mm_SMD,
C2,0.1uF,Capacitors_SMD:C_0805,
C5,0.1uF,Capacitors_SMD:C_0805,
C4,0.1uF,Capacitors_SMD:C_0805,
JP2,JUMPER,Eigene_Footprints:2_jumper_2.54mm,
R7,100R,Resistors_SMD:R_0805,
U6,LM7171,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
CT2,1500pF,Capacitors_SMD:C_0805,
U4,AD9837,Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm,
C11,10nF,Capacitors_SMD:C_0805,
C10,0.1uF,Capacitors_SMD:C_0805,
C9,0.1uF,Capacitors_SMD:C_0805,
JP1,JUMPER,Eigene_Footprints:2_jumper_2.54mm,
RV2,1k,SMD_resistor:trim_bourns_3214w,
R11,0R,Resistors_SMD:R_0805,
C16,0.1uF,Capacitors_SMD:C_0805,
RV1,1k,SMD_resistor:trim_bourns_3214w,
R16,30k,Resistors_SMD:R_0805,
R14,1k,Resistors_SMD:R_0805,
RV6,10k,SMD_resistor:trim_bourns_3214w,
P2,BNC_CH0,Sockets_BNC:BNC_Socket_TYCO-AMP_LargePads,
R15,820R,Resistors_SMD:R_0805,
R12,820R,Resistors_SMD:R_0805,
P4,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
JP4,JUMPER,Eigene_Footprints:2_jumper_2.54mm,
R13,100R,Resistors_SMD:R_0805,
U7,LM7171,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
JP3,JUMPER,Eigene_Footprints:2_jumper_2.54mm,
RV5,1k,SMD_resistor:trim_bourns_3214w,
R17,0R,Resistors_SMD:R_0805,
C14,0.1uF,Capacitors_SMD:C_0805,
RV4,1k,SMD_resistor:trim_bourns_3214w,
P6,CONN_02X20,Socket_Strips:Socket_Strip_Straight_2x20,
P7,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
P3,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
P1,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
P5,CONN_01X01,Wire_Pads:SolderWirePad_single_1mmDrill,
R19,50R,Resistors_SMD:R_0805,
R18,50R,Resistors_SMD:R_0805,
